SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE_FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),6135 NW 26th St,Gainesville,FL,32653,785000,2,1.0,PINE RIDGE (450),6448,10453,1981,16,122,173,Active,,,https://www.redfin.com/FL/Gainesville/6135-NW-26th-St-32653/home/115409655,Stellar MLS as Distributed by MLS Grid,GC517517,N,Y,29.7114524,-82.3605945
MLS Listing,,Vacant Land,TBD SW 24th Ave,Gainesville,FL,32607,990000,,,GAINESVILLE,,85813,,16,,,Active,,,https://www.redfin.com/FL/Gainesville/TBD-SW-24th-Ave-32607/home/188567086,Stellar MLS as Distributed by MLS Grid,GC517479,N,Y,29.63699564,-82.41388832
MLS Listing,,Single Family Residential,4930 NW 37th Pl,Gainesville,FL,32606,350000,3,2.0,AUTUMN WOODS,1203,10454,1985,17,291,7,Active,,,https://www.redfin.com/FL/Gainesville/4930-NW-37th-Pl-32606/home/115094784,Stellar MLS as Distributed by MLS Grid,G5075424,N,Y,29.6875017,-82.3961813
MLS Listing,,Single Family Residential,2015 SW 244 Dr,Newberry,FL,32669,410000,3,2.0,COUNTRYWAY TOWN SQUARE,1709,8463,2022,17,240,83,Active,,,https://www.redfin.com/FL/Newberry/2015-SW-244th-Dr-32669/home/183042903,Stellar MLS as Distributed by MLS Grid,GC517533,N,Y,29.6343285,-82.599844
MLS Listing,,Single Family Residential,15504 NW 134th Ter,Alachua,FL,32615,311000,3,2.0,COLLEGE HEIGHTS,1397,7841,2023,17,223,,Active,,,https://www.redfin.com/FL/Alachua/15504-NW-134th-Ter-32615/home/188552424,Stellar MLS as Distributed by MLS Grid,GC517506,N,Y,29.7969652,-82.4887623
MLS Listing,,Single Family Residential,4408 NW 58th Ave,Gainesville,FL,32653,560000,4,3.0,ASHTON,2459,15383,1992,17,228,21,Active,,,https://www.redfin.com/FL/Gainesville/4408-NW-58th-Ave-32653/home/115098154,Stellar MLS as Distributed by MLS Grid,GC517496,N,Y,29.7075486,-82.3904209
MLS Listing,,Single Family Residential,7830 SW 97th Ave,Gainesville,FL,32608,399800,3,2.0,KANAPAHA PINES,1866,47045,1992,18,214,,Active,,,https://www.redfin.com/FL/Gainesville/7830-SW-97th-Ave-32608/home/114196330,Stellar MLS as Distributed by MLS Grid,GC517501,N,Y,29.564856,-82.4268816
MLS Listing,,Single Family Residential,1003 SW 66th Ter,Gainesville,FL,32607,422000,3,2.5,GRAND OAKS,1777,5710,2024,18,237,60,Active,,,https://www.redfin.com/FL/Gainesville/1003-SW-66th-Dr-32607/home/188550244,Stellar MLS as Distributed by MLS Grid,GC517499,N,Y,29.6376628,-82.4107137
MLS Listing,,Townhouse,211 SW 6th Ave,Gainesville,FL,32601,199000,3,1.5,PORTERS OAKS CLUSTER,1160,1066,1988,18,172,,Active,,,https://www.redfin.com/FL/Gainesville/211-SW-6th-Ave-32601/home/115506526,Stellar MLS as Distributed by MLS Grid,GC517190,N,Y,29.6463163,-82.3268374
MLS Listing,,Condo/Co-op,105 SE 16th Ave Unit N101,Gainesville,FL,32601,144999,2,2.0,TREEHOUSE VILLAGE,874,,1985,18,166,192,Active,,,https://www.redfin.com/FL/Gainesville/105-SE-16th-Ave-32601/unit-N101/home/115631163,Stellar MLS as Distributed by MLS Grid,GC517493,N,Y,29.6308695,-82.3255968
MLS Listing,,Single Family Residential,9333 SW 65th Pl,Gainesville,FL,32608,474900,4,2.0,LUGANO PH I,1809,7606,2018,18,263,210,Active,December-2-2023 02:00 PM,December-2-2023 04:00 PM,https://www.redfin.com/FL/Gainesville/9333-SW-65th-Pl-32608/home/144475104,Stellar MLS as Distributed by MLS Grid,GC517460,N,Y,29.5932347,-82.4417187
MLS Listing,,Single Family Residential,14834 NW 149th Rd,Alachua,FL,32615,559000,3,2.5,WYNDSWEPT HILLS,2147,16754,2014,19,260,33,Active,,,https://www.redfin.com/FL/Alachua/14834-NW-149th-Rd-32615/home/115352710,Stellar MLS as Distributed by MLS Grid,GC517490,N,Y,29.792842,-82.50329
MLS Listing,,Vacant Land,16820 S County Road 325,Hawthorne,FL,32640,399900,,,HAWTHORNE,,871200,,19,,,Active,,,https://www.redfin.com/FL/Hawthorne/16820-S-County-Road-325-32640/home/115189197,Stellar MLS as Distributed by MLS Grid,GC517487,N,Y,29.499233,-82.176081
MLS Listing,,Single Family Residential,6613 NW 26th Ter,Gainesville,FL,32653,239900,3,2.0,NORTHWOOD PINES,1055,12666,1985,20,227,,Active,,,https://www.redfin.com/FL/Gainesville/6613-NW-26th-Ter-32653/home/114409040,Stellar MLS as Distributed by MLS Grid,GC517392,N,Y,29.7152467,-82.3616538
MLS Listing,,Single Family Residential,3012 NW 24th Ter NW,Gainesville,FL,32605,494900,4,2.0,COVENTRY,2277,15246,1988,20,217,12,Active,December-2-2023 10:00 AM,December-2-2023 01:00 PM,https://www.redfin.com/FL/Gainesville/3012-NW-24th-Ter-32605/home/115099452,Stellar MLS as Distributed by MLS Grid,GC516865,N,Y,29.680426,-82.3589439
MLS Listing,,Single Family Residential,1831 SW 112th St,Gainesville,FL,32607,2250000,7,6.5,HAYES GLEN,6773,189486,1997,20,332,27,Active,,,https://www.redfin.com/FL/Gainesville/1831-SW-112th-St-32607/home/115549221,Stellar MLS as Distributed by MLS Grid,GC517471,N,Y,29.6352778,-82.4606785
MLS Listing,,Single Family Residential,2315 NE 11th Ter,Gainesville,FL,32609,219401,3,1.5,HIGHLAND COURT MANOR,1203,9247,1959,20,182,,Active,,,https://www.redfin.com/FL/Gainesville/2315-NE-11th-Ter-32609/home/114557613,Stellar MLS as Distributed by MLS Grid,GC517385,N,Y,29.674338,-82.311063
